year,county,total,male,female,over18,under19,under19_male,under19_female,over18_male,over18_female
1992.0,LAKE,6208.0,3232.0,2976.0,4387.0,1821.0,938.0,883.0,2294.0,2093.0
1992.0,LARIMER,199664.0,98992.0,100672.0,146197.0,53467.0,27414.0,26053.0,71578.0,74619.0
1992.0,LAS ANIMAS,14034.0,6850.0,7184.0,10254.0,3780.0,1964.0,1816.0,4886.0,5368.0
1992.0,LINCOLN,5972.0,3027.0,2945.0,4348.0,1624.0,846.0,778.0,2181.0,2167.0
1992.0,LOGAN,17567.0,8720.0,8847.0,12646.0,4921.0,2525.0,2396.0,6195.0,6451.0
1992.0,MESA,97408.0,47355.0,50053.0,70118.0,27290.0,13921.0,13369.0,33434.0,36684.0
1992.0,MINERAL,582.0,300.0,282.0,447.0,135.0,71.0,64.0,229.0,218.0
1992.0,MOFFAT,11697.0,5951.0,5746.0,7848.0,3849.0,2000.0,1849.0,3951.0,3897.0
1992.0,MONTEZUMA,19654.0,9586.0,10068.0,13401.0,6253.0,3228.0,3025.0,6358.0,7043.0
1992.0,MONTROSE,26219.0,12824.0,13395.0,18727.0,7492.0,3858.0,3634.0,8966.0,9761.0
1992.0,MORGAN,23486.0,11568.0,11918.0,16176.0,7310.0,3677.0,3633.0,7891.0,8285.0
1992.0,OTERO,20293.0,9818.0,10475.0,14214.0,6079.0,3147.0,2932.0,6671.0,7543.0
1992.0,OURAY,2533.0,1279.0,1254.0,1893.0,640.0,340.0,300.0,939.0,954.0
1992.0,PARK,8089.0,4151.0,3938.0,5866.0,2223.0,1155.0,1068.0,2996.0,2870.0
1992.0,PHILLIPS,4230.0,2012.0,2218.0,3070.0,1160.0,574.0,586.0,1438.0,1632.0
1992.0,PITKIN,13365.0,7052.0,6313.0,11019.0,2346.0,1211.0,1135.0,5841.0,5178.0
1992.0,PROWERS,13102.0,6420.0,6682.0,8829.0,4273.0,2168.0,2105.0,4252.0,4577.0
1992.0,PUEBLO,124412.0,60332.0,64080.0,89823.0,34589.0,17627.0,16962.0,42705.0,47118.0
1992.0,RIO BLANCO,6177.0,3129.0,3048.0,4260.0,1917.0,984.0,933.0,2145.0,2115.0
1992.0,RIO GRANDE,10944.0,5397.0,5547.0,7524.0,3420.0,1753.0,1667.0,3644.0,3880.0
1992.0,ROUTT,15153.0,8097.0,7056.0,11218.0,3935.0,2103.0,1832.0,5994.0,5224.0
1992.0,SAGUACHE,4796.0,2447.0,2349.0,3240.0,1556.0,831.0,725.0,1616.0,1624.0
1992.0,SAN JUAN,575.0,319.0,256.0,406.0,169.0,92.0,77.0,227.0,179.0
1992.0,SAN MIGUEL,4563.0,2445.0,2118.0,3542.0,1021.0,515.0,506.0,1930.0,1612.0
1992.0,SEDGWICK,2633.0,1292.0,1341.0,1973.0,660.0,339.0,321.0,953.0,1020.0
1992.0,SUMMIT,13845.0,7655.0,6190.0,10962.0,2883.0,1473.0,1410.0,6182.0,4780.0
1992.0,TELLER,13673.0,6944.0,6729.0,9647.0,4026.0,2133.0,1893.0,4811.0,4836.0
1992.0,WASHINGTON,4892.0,2444.0,2448.0,3521.0,1371.0,704.0,667.0,1740.0,1781.0
1992.0,WELD,140128.0,69449.0,70679.0,98007.0,42121.0,21520.0,20601.0,47929.0,50078.0
1992.0,YUMA,9008.0,4417.0,4591.0,6302.0,2706.0,1397.0,1309.0,3020.0,3282.0
1993.0,ADAMS,290782.0,145351.0,145431.0,202548.0,88234.0,45192.0,43042.0,100159.0,102389.0
1993.0,ALAMOSA,13656.0,6729.0,6927.0,9419.0,4237.0,2177.0,2060.0,4552.0,4867.0
1993.0,ARAPAHOE,427474.0,209112.0,218362.0,306370.0,121104.0,61999.0,59105.0,147113.0,159257.0
1993.0,ARCHULETA,6183.0,3139.0,3044.0,4368.0,1815.0,974.0,841.0,2165.0,2203.0
1993.0,BACA,4325.0,2140.0,2185.0,3195.0,1130.0,575.0,555.0,1565.0,1630.0
1993.0,BENT,5357.0,2855.0,2502.0,3918.0,1439.0,723.0,716.0,2132.0,1786.0
1993.0,BOULDER,247282.0,124274.0,123008.0,185918.0,61364.0,31343.0,30021.0,92931.0,92987.0
1993.0,BROOMFIELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993.0,CHAFFEE,13702.0,7328.0,6374.0,10559.0,3143.0,1675.0,1468.0,5653.0,4906.0
1993.0,CHEYENNE,2307.0,1170.0,1137.0,1577.0,730.0,387.0,343.0,783.0,794.0
1993.0,CLEAR CREEK,8039.0,4172.0,3867.0,5954.0,2085.0,1087.0,998.0,3085.0,2869.0
